表5-5　為替レートと消費者物価（1970-92）　,,,
年度,為替レート（EXR）,消費者物価指数（CPI）,賃金率（WAGE）
70,360.00,35.1,19.2
71,335.47,37.1,21.8
72,297.23,39.3,25.5
73,273.80,45.4,31.0
74,292.64,54.8,40.0
75,290.04,60.5,45.0
76,292.43,66.3,50.3
77,256.74,70.7,54.4
78,201.44,73.5,57.6
79,229.50,77.1,61.2
80,217.40,83.0,64.8
81,227.38,86.2,68.2
82,249.66,88.5,71.2
83,236.39,90.2,72.9
84,244.19,92.1,75.4
85,221.09,93.9,77.7
86,159.83,93.9,79.5
87,138.33,94.4,81.1
88,128.27,95.1,84.2
89,142.82,97.8,87.7
90,141.30,100.9,91.7
91,133.18,103.7,94.8
92,124.80,105.4,96.1
